UC,LATITUDE,LONGITUDE
81008104,-24.56306,-54.05951
77331117,-25.26688,-54.05951
70959633,-24.56222,-54.05884
62957287,-24.55822,-54.05881
42654564,-25.2674,-54.05864
10085262,-24.55851,-54.05786
86142119,-24.54695,-54.05696
37726412,-24.56613,-54.05694
90337905,-24.55625,-54.05672
49173200,-25.27086,-54.05615
46117539,-25.38958,-54.05571
98968033,-24.55906,-54.05514
97698970,-25.26818,-54.05401
102577412,-25.26224,-54.0538
88398226,-24.55833,-54.05321
94715777,-24.58633,-54.05288
101391978,-24.54534,-54.05268
99549999,-24.55183,-54.05267
92165389,-24.55183,-54.05267
97596108,-25.27094,-54.0526
43527310,-25.27079,-54.05229
76898466,-25.38516,-54.05227
40747298,-24.55077,-54.05193
50947559,-24.55275,-54.05137
60079630,-25.26912,-54.05123
64549119,-24.55186,-54.0509
19452756,-24.54365,-54.05076
86638688,-24.5393,-54.05071
50003755,-24.56684,-54.0504
22614052,-24.56499,-54.05025
71597123,-24.54271,-54.05002
89303431,-24.56328,-54.04964
33571554,-24.55704,-54.04899
86482785,-24.54227,-54.04811
94980195,-24.59157,-54.04672
100341993,-24.55068,-54.04661
88705730,-24.5445,-54.04625
46044019,-24.55831,-54.04624
58931554,-25.40252,-54.04614
29499453,-24545,-54.0456
44967624,-24.5556,-54.04453
100177646,-25.32986,-54.04388
46581090,-24.52898,-54.04378
101311192,-24.56858,-54.04277
94980640,-24.59296,-54.0424
62780492,-24.54937,-54.04167
46587900,-24.52718,-54.0412
99913283,-24.78175,-54.04108
72633069,-24.4116,-54.04039
96591978,-24.56813,-54.03959
52436780,-24.54916,-54.03956
20204310,-24.56399,-54.03947
72771461,-24.40026,-54.03887
100855903,-24.57853,-54.03765
94362408,-24.56443,-54.03755
37784889,-24.5586,-54.03713
100126170,-24.56657,-54.0366
83940995,-24.56651,-54.03624
93407696,-24.56719,-54.03595
20447841,-24.56148,-54.03571
98213750,-24.56166,-54.03558
94360251,-24.42046,-54.03545
77093020,-24.56273,-54.03439
19452764,-24.56899,-54.03411
76599973,-24.56528,-54.03397
45660930,-25.41913,-54.03387
76212823,-25.11901,-54.0298
78962188,-24.86503,-54.02964
35832320,-24.48274,-54.02773
44340664,-24.56727,-54.02644
96099062,-24.56793,-54.02632
80533299,-24.96913,-54.02411
101087705,-24.5837,-54.02369
90610024,-24532,-54.02152
72669900,-24.57305,-54.02077
56094345,-23.93677,-54.01841
43715010,-24.5676,-54.0176
11000902,-24.37122,-54.01538
104055006,-24.21925,-54.01436
95418474,-24.22727,-54.01102
19453450,-24.36441,-54.00876
95763686,-24.18248,-54.0049
61161535,-24.82049,-54.00251
76565599,-25.16385,-54.00133
101951663,-24.32692,-53.99999
84757566,-24.53649,-53.9953
75747669,-24.58362,-53.99481
25234315,-25.25727,-53.99475
31425461,-25.23921,-53.98774
93937644,-24.59995,-53.98731
32330227,-25.25269,-53.98562
86372424,-25.1116,-53.98529
101603487,-25.23669,-53.98519
20836350,-24.19879,-53.98489
68197004,-25.2429,-53.98474
90115422,-25.26136,-53.9827
27177092,-24.20597,-53.98224
54708877,-24.58273,-53.98181
87828839,-25.11082,-53.9804
26378027,-24.42855,-53.97951
43765181,-24.41614,-53.97946
60602643,-25.23299,-53.9792
95739939,-24.27084,-53.97702
37221540,-25.23654,-53.97689
83791272,-24.32483,-53.97648
95490671,-24.03699,-53.97574
23867132,-25.24223,-53.97496
92338429,-24.03235,-53.97468
89685989,-24.5735,-53.97425
71733507,-25.24225,-53.9736
79201148,-24.98534,-53.97288
68459947,-25.06107,-53.97228
58734210,-24.45661,-53.97187
27111849,-24.57119,-53.96934
30327989,-24.40787,-53.96524
73822671,-24.46825,-53.9649
100351930,-24.45977,-53.96485
98417860,-24.49356,-53.96392
19453027,-25.23653,-53.96366
62604473,-24.46945,-53.96361
82858993,-24.31999,-53.96171
36691739,-25.23465,-53.96156
46195467,-24.46788,-53.9605
100999573,-24.20131,-53.96002
93329903,-24.46572,-53.95808
19652941,-24.45702,-53.95638
62013769,-24.46607,-53.95574
40995305,-25.25688,-53.95416
99477360,-25.18797,-53.95175
36799947,-24.44165,-53.95078
45026688,-25.14321,-53.95015
103343415,-25.20305,-53.94898
102074143,-24.24584,-53.94866
94831637,-24.87853,-53.94782
96924527,-24.47804,-53.94646
77790065,-24.4781,-53.94635
69722366,-25.20145,-53.94505
87860015,-25.19982,-53.94299
90973216,-25.19786,-53.94297
48075892,-24.61166,-53.94285
87177803,-23.91828,-53.94258
96786795,-25.19453,-53.94234
41372824,-23.9394,-53.94013
64573842,-24.38486,-53.9397
35323230,-24.56732,-53.93871
40994724,-25.28355,-53.93442
10777431,-24.56545,-53.93323
29593590,-24.28857,-53.9326
94371709,-24.84513,-53.93252
101536380,-24.5282,-53.92764
23905603,-24.49898,-53.92731
91548705,-25.27643,-53.92726
32402759,-24.39192,-53.92604
27882128,-24.2851,-53.92478
87618141,-24.44622,-53.92343
19427980,-24.53779,-53.91683
11082682,-24.18803,-53.91659
68929536,-25.1762,-53.91498
68930577,-25176,-53.91356
69616639,-24.6813,-53.91221
85485900,-24.77802,-53.91022
78661765,-24.77786,-53.90914
94773718,-24.68558,-53.90853
96468114,-24.56318,-53.90793
93530323,-23.86968,-53.90292
34714359,-24.34071,-53.90204
99023229,-23.87089,-53.90192
