estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
1000430720,Tim,Grandes Rios,-24.18389,-51.42528,3G
1000431026,Tim,Primeiro De Maio,-22.900189,-51.056536,3G
1000431263,Tim,Marilandia Do Sul,-23.79278,-51.255,3G
1000504635,Tim,Santo Antonio Da Platina,-23.298056,-50.056667,2G 3G 4G
1000515459,Tim,Sao Pedro Do Iguacu,-24.862406,-53.998783,3G
1000529786,Tim,Itaipulandia,-25.175,-54.319444,3G
1000551277,Tim,Pinhais,-25.447583,-49.166444,2G 3G 4G
1000556562,Tim,Curitiba,-25.528778,-49.282667,2G 3G 4G 5G
1000558220,Tim,Rio Bom,-23.76472,-51.40667,3G 4G
1000566274,Tim,Campo Mourao,-24.029333,-52.36417,2G 3G 4G
1000575419,Tim,Colombo,-25.33869,-49.23133,3G 4G
1000587034,Tim,Agudos Do Sul,-26.00758,-49.32372,3G 4G
1000587344,Tim,Ibema,-25.18944,-53.06278,3G
1000588006,Tim,Curitiba,-25.503167,-49.215278,3G 4G 5G
1000588014,Tim,Curitiba,-25.499694,-49.295306,3G 4G 5G
1000588219,Tim,Curitiba,-25.418694,-49.359889,2G 3G 4G 5G
1000588480,Claro,Maringa,-23.42045,-51.9698,3G 4G
1000594995,Vivo,Arapongas,-23.40528,-51.46222,2G 3G 4G
1000596297,Vivo,Curitiba,-25.45556,-49.22194,2G 3G 4G
1000596360,Vivo,Curitiba,-25.46199722,-49.310166,2G 3G 4G
1000596939,Vivo,Pinhais,-25.44333,-49.18833,2G 3G 4G
1000596998,Vivo,Paranavai,-23.08972,-52.46861,2G 3G 4G
1000597170,Vivo,Paranavai,-23.06722,-52.40861,2G 3G 4G
1000630100,Tim,Campo Magro,-25.254808,-49.491314,3G
1000631823,Tim,Londrina,-23.30139,-51.16583,4G
1000633478,Tim,Jardim Alegre,-24.305275,-51.874864,3G
1000633508,Tim,Curitiba,-25.488139,-49.253917,3G 4G 5G
1000633931,Tim,Curitiba,-25.44525,-49.338194,3G 4G 5G
1000663849,Tim,Curitiba,-25.476972,-49.242417,3G 4G 5G
1000684765,Tim,Castro,-24.781278,-49.875583,2G 3G 4G
1000685460,Tim,Curitiba,-25.555083,-49.275028,3G 4G 5G
1000694957,Tim,Curitiba,-25.3845,-49.233167,3G 4G 5G
1000707692,Tim,Pien,-26.052144,-49.47765,3G
1000707757,Tim,Porto Amazonas,-25.562872,-49.890453,3G 4G
1000735386,Tim,Almirante Tamandare,-25.27714,-49.32544,3G 4G
